#filename,primary,secondary,shape,valid
n02814533_35.JPEG,grey,,station_wagon,1
n02814533_64.JPEG,black,,station_wagon,1
n02814533_76.JPEG,green,brown,station_wagon,0
n02814533_80.JPEG,white,,station_wagon,1
n02814533_105.JPEG,black,,station_wagon,0
n02814533_126.JPEG,white,,station_wagon,1
n02814533_149.JPEG,red,,station_wagon,1
n02814533_211.JPEG,red,brown,station_wagon,1
n02814533_240.JPEG,blue,,station_wagon,1
n02814533_245.JPEG,pink,,station_wagon,0
n02814533_259.JPEG,red,white,station_wagon,1
n02814533_330.JPEG,green,,station_wagon,1
n02814533_428.JPEG,red,,station_wagon,1
n02814533_479.JPEG,grey,,station_wagon,0
n02814533_517.JPEG,orange,,station_wagon,1
n02814533_647.JPEG,grey,,station_wagon,1
n02814533_705.JPEG,white,,station_wagon,1
n02814533_725.JPEG,orange,,station_wagon,1
n02814533_872.JPEG,grey,,station_wagon,1
n02814533_874.JPEG,blue,,station_wagon,1
n02814533_982.JPEG,grey,,station_wagon,1
n02814533_1015.JPEG,white,,station_wagon,1
n02814533_1040.JPEG,blue,,station_wagon,1
n02814533_1120.JPEG,blue,,station_wagon,1
n02814533_1178.JPEG,grey,,station_wagon,1
n02814533_1292.JPEG,grey,,station_wagon,0
n02814533_1344.JPEG,black,,station_wagon,1
n02814533_1354.JPEG,grey,,station_wagon,1
n02814533_1368.JPEG,yellow,brown,station_wagon,1
n02814533_1392.JPEG,grey,,station_wagon,1
n02814533_1533.JPEG,red,white,station_wagon,1
n02814533_1609.JPEG,black,,station_wagon,1
n02814533_1649.JPEG,grey,,station_wagon,1
n02814533_1669.JPEG,white,,station_wagon,1
n02814533_1748.JPEG,blue,,station_wagon,1
n02814533_1750.JPEG,black,brown,station_wagon,1
n02814533_1754.JPEG,green,,station_wagon,1
n02814533_1757.JPEG,blue,white,station_wagon,1
n02814533_1823.JPEG,red,white,station_wagon,1
n02814533_1835.JPEG,red,,station_wagon,1
n02814533_1838.JPEG,black,,station_wagon,1
n02814533_1871.JPEG,red,,station_wagon,1
n02814533_1884.JPEG,orange,,station_wagon,0
n02814533_1893.JPEG,white,,station_wagon,1
n02814533_2013.JPEG,red,,station_wagon,0
n02814533_2020.JPEG,black,,station_wagon,1
n02814533_2025.JPEG,white,,station_wagon,1
n02814533_2054.JPEG,grey,,station_wagon,1
n02814533_2143.JPEG,green,,station_wagon,1
n02814533_2168.JPEG,grey,,station_wagon,1
n02814533_2188.JPEG,red,,station_wagon,1
n02814533_2207.JPEG,green,,station_wagon,1
n02814533_2216.JPEG,red,white,station_wagon,1
n02814533_2233.JPEG,red,,station_wagon,1
n02814533_2236.JPEG,black,white,station_wagon,1
n02814533_2271.JPEG,blue,white,station_wagon,1
n02814533_2417.JPEG,red,,station_wagon,1
n02814533_2496.JPEG,white,,station_wagon,1
n02814533_2511.JPEG,green,orange,station_wagon,1
n02814533_2517.JPEG,grey,,station_wagon,0
n02814533_2527.JPEG,white,red,station_wagon,1
n02814533_2530.JPEG,red,white,station_wagon,1
n02814533_2654.JPEG,white,brown,station_wagon,1
n02814533_2675.JPEG,grey,,station_wagon,1
n02814533_2713.JPEG,blue,,station_wagon,1
n02814533_2715.JPEG,red,orange,station_wagon,1
n02814533_2746.JPEG,white,brown,station_wagon,1
n02814533_2781.JPEG,orange,,station_wagon,1
n02814533_2782.JPEG,blue,brown,station_wagon,0
n02814533_2792.JPEG,blue,white,station_wagon,1
n02814533_2802.JPEG,white,,station_wagon,1
n02814533_2847.JPEG,white,,station_wagon,1
n02814533_2856.JPEG,blue,,station_wagon,1
n02814533_2867.JPEG,green,,station_wagon,0
n02814533_2880.JPEG,grey,,station_wagon,1
n02814533_2905.JPEG,red,,station_wagon,1
n02814533_2918.JPEG,grey,,station_wagon,1
n02814533_2923.JPEG,green,,station_wagon,1
n02814533_2964.JPEG,grey,,station_wagon,1
n02814533_3121.JPEG,red,,station_wagon,1
n02814533_3131.JPEG,blue,,station_wagon,1
n02814533_3137.JPEG,green,white,station_wagon,1
n02814533_3155.JPEG,blue,,station_wagon,1
n02814533_3157.JPEG,white,,station_wagon,1
n02814533_3164.JPEG,green,brown,station_wagon,1
n02814533_3303.JPEG,red,,station_wagon,1
n02814533_3393.JPEG,grey,,station_wagon,1
